ticker,datum_unosa,kvartal_provere,predvidjanje,merljiv_prag,uverenost,ishod,realizovana_vrednost,napomena
MA,2026-08-22,Q3 2026,Zaduzenost ostaje niska,Neto dug/EBITDA <=1.0x (trenutno 0.42x),70%,,,
MA,2026-08-22,Q3 2026,Litigation accrual (US MDL) ne eskalira naglo,rast <=20% god/god (trenutno +14% $559M->$637M),70%,,,
JKHY,2026-09-03,Q1 FY2027 (do 30.09.2026),ROIC ostaje visok,>=20% (trenutno 23.5%),70%,,,
JKHY,2026-09-03,Q1 FY2027 (do 30.09.2026),Operativna marza ostaje u opsegu,>=24% (+-1pp; trenutno 25.0%),70%,,,
JKHY,2026-09-03,Q1 FY2027 (do 30.09.2026),Zaduzenost ostaje minimalna,Neto dug/EBITDA <1.0x (trenutno 0.03x),70%,,,
JKHY,2026-09-03,Q1 FY2027 (do 30.09.2026),FCF nastavlja da raste,>=8% god/god (trenutno CAGR 12.2%),70%,,,
JKHY,2026-09-03,Q1 FY2027 (do 30.09.2026),Odliv klijenata se ne ubrzava dalje,deconversion fees rast ostaje <=30% god/god (trenutno FY2026 +26.3% god/god, $33.9M->$42.8M),70%,,,
ITW,2026-09-04,Q3 2026,ROIC ostaje visok,>=27% (trenutno 28.7%),70%,,,
ITW,2026-09-04,Q3 2026,Operativna marza ostaje u opsegu,>=25% (+-1pp; trenutno 26.3%),70%,,,
ITW,2026-09-04,Q3 2026,Zaduzenost ostaje niska,Neto dug/EBITDA <2.0x (trenutno 1.76x),70%,,,
ITW,2026-09-04,Q3 2026,Broj akcija nastavlja da opada,CAGR ostaje negativan (trenutno -2.0%),70%,,,
ITW,2026-09-04,Q3 2026,Prihod ne opada,>=2% god/god (trenutno CAGR 2.6%),70%,,,
ROP,2026-09-04,Q3 2026,ROIC ex-goodwill ostaje visok,>=20% (trenutno 23.5%),70%,,,
ROP,2026-09-04,Q3 2026,Operativna marza ostaje u opsegu,>=27% (+-1pp; trenutno 28.3%),70%,,,
ROP,2026-09-04,Q3 2026,Zaduzenost ne pogorsava,Neto dug/EBITDA <3.0x (trenutno 2.87x),70%,,,
ROP,2026-09-04,Q3 2026,FCF nastavlja da raste,>=8% god/god (trenutno CAGR 11.1%),70%,,,
ROP,2026-09-04,Q3 2026,Goodwill ne prelazi granicu,Goodwill/ukupna imovina <65% (trenutno 61.7%),70%,,,
ULTA,2026-09-04,Q4 FY2025 (do 31.01.2026 ili Q1 FY2026),ROIC drzi nivo,>=25% (trenutno 25.4%),70%,,,
ULTA,2026-09-04,Q4 FY2025 (do 31.01.2026 ili Q1 FY2026),Operativna marza stabilna,>=12% (+-1pp; trenutno 12.4%),70%,,,
ULTA,2026-09-04,Q4 FY2025 (do 31.01.2026 ili Q1 FY2026),Zaduzenost ostaje niska,Neto dug/EBITDA <1.5x (trenutno 0.96x),70%,,,
ULTA,2026-09-04,Q4 FY2025 (do 31.01.2026 ili Q1 FY2026),Prihod raste,>=6% god/god (trenutno CAGR 9.5%),70%,,,
ULTA,2026-09-04,Q4 FY2025 (do 31.01.2026 ili Q1 FY2026),Broj akcija nastavlja da opada,CAGR ostaje negativan (trenutno -4.8%),70%,,,
TYL,2026-09-04,Q3 2026,ROIC ex-goodwill ostaje visok,>=30% (trenutno 41.5%),70%,,,
TYL,2026-09-04,Q3 2026,Operativna marza stabilna/raste,>=14% (+-1pp; trenutno 15.3%),70%,,,
TYL,2026-09-04,Q3 2026,Zaduzenost ostaje niska,Neto dug/EBITDA negativan (trenutno -0.84x),70%,,,
TYL,2026-09-04,Q3 2026,FCF konverzija ostaje jaka,>=1.5 (trenutno prosek 2.02),70%,,,
TYL,2026-09-04,Q3 2026,Prihod raste,>=8% god/god (trenutno CAGR 10.0%),70%,,,
